chr - hs1 1 0 2500 chr1

band hs1 p36.33 p36.33 0 23 igneg
band hs1 p36.32 p36.32 23 54 igpos25
band hs1 p36.31 p36.31 54 72 igneg
band hs1 p36.23 p36.23 72 92 igpos25
band hs1 p36.22 p36.22 92 127 igneg
band hs1 p36.21 p36.21 127 162 igpos50
band hs1 p36.13 p36.13 162 204 igneg
band hs1 p36.12 p36.12 204 239 igpos25
band hs1 p36.11 p36.11 239 280 igneg
band hs1 p35.3 p35.3 280 302 igpos25
band hs1 p35.2 p35.2 302 324 igneg
band hs1 p35.1 p35.1 324 346 igpos25
band hs1 p34.3 p34.3 346 401 igneg
band hs1 p34.2 p34.2 401 441 igpos25
band hs1 p34.1 p34.1 441 468 igneg
band hs1 p33 p33 468 507 igpos75
band hs1 p32.3 p32.3 507 561 igneg
band hs1 p32.2 p32.2 561 590 igpos50
band hs1 p32.1 p32.1 590 613 igneg
band hs1 p31.3 p31.3 613 689 igpos50
band hs1 p31.2 p31.2 689 697 igneg
band hs1 p31.1 p31.1 697 849 igpos100
band hs1 p22.3 p22.3 849 884 igneg
band hs1 p22.2 p22.2 884 920 igpos75
band hs1 p22.1 p22.1 920 947 igneg
band hs1 p21.3 p21.3 947 997 igpos75
band hs1 p21.2 p21.2 997 1022 igneg
band hs1 p21.1 p21.1 1022 1072 igpos100
band hs1 p13.3 p13.3 1072 1118 igneg
band hs1 p13.2 p13.2 1118 1161 igpos50
band hs1 p13.1 p13.1 1161 1178 igneg
band hs1 p12 p12 1178 1206 igpos50
band hs1 p11.2 p11.2 1206 1215 igneg
band hs1 p11.1 p11.1 1215 1250 acen
band hs1 q11 q11 1250 1289 acen
band hs1 q12 q12 1289 1426 gvar
band hs1 q21.1 q21.1 1426 1470 igneg
band hs1 q21.2 q21.2 1470 1503 igpos50
band hs1 q21.3 q21.3 1503 1550 igneg
band hs1 q22 q22 1550 1565 igpos50
band hs1 q23.1 q23.1 1565 1591 igneg
band hs1 q23.2 q23.2 1591 1605 igpos50
band hs1 q23.3 q23.3 1605 1655 igneg
band hs1 q24.1 q24.1 1655 1672 igpos50
band hs1 q24.2 q24.2 1672 1709 igneg
band hs1 q24.3 q24.3 1709 1729 igpos75
band hs1 q25.1 q25.1 1729 1760 igneg
band hs1 q25.2 q25.2 1760 1803 igpos50
band hs1 q25.3 q25.3 1803 1858 igneg
band hs1 q31.1 q31.1 1858 1908 igpos100
band hs1 q31.2 q31.2 1908 1938 igneg
band hs1 q31.3 q31.3 1938 1987 igpos100
band hs1 q32.1 q32.1 1987 2072 igneg
band hs1 q32.2 q32.2 2072 2115 igpos25
band hs1 q32.3 q32.3 2115 2145 igneg
band hs1 q41 q41 2145 2241 igpos100
band hs1 q42.11 q42.11 2241 2246 igneg
band hs1 q42.12 q42.12 2246 2270 igpos25
band hs1 q42.13 q42.13 2270 2307 igneg
band hs1 q42.2 q42.2 2307 2347 igpos50
band hs1 q42.3 q42.3 2347 2366 igneg
band hs1 q43 q43 2366 2437 igpos75
band hs1 q44 q44 2437 2500 igneg
